id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label
1,30,,1,71,100,10,0,,163,106,90,592,0
2,36,,1,19,500,110,1,,21,29,110,1180,0
3,19,0,2,56,0,20,1,7,267,106,90,369,0
4,20,0,2,52,500,0,1,,651,68,216,1843,0
5,51,,1,28,300,20,0,,102,73,62,247,0
6,26,0,2,63,900,0,1,,861,106,90,1610,0
7,37,0,2,71,500,10,1,,1246,68,62,1417,0
8,,,1,,,,,,619,68,62,2278,0
9,,,2,,,,1,,651,93,100,1683,0
10,21,0,1,3,800,30,1,,268,23,216,2150,0
11,27,,1,42,600,120,1,,259,73,216,1934,0
12,24,0,1,99,300,40,1,43,577,64,110,1089,0
13,31,0,2,77,200,1420,1,43,439,106,90,2092,0
14,20,,1,72,100,0,1,7,77,106,90,2279,0
15,,,1,,,,1,,658,73,62,254,0
16,67,0,2,64,400,0,1,,188,73,110,1581,1
17,28,,1,63,500,160,1,50,126,68,216,1985,0
18,43,0,1,61,100,0,1,12,315,68,40,2149,0
19,26,0,1,49,400,20,0,43,338,68,216,1740,0
20,25,,2,58,100,0,0,,46,58,90,1892,0
21,22,,1,67,800,30,1,,321,73,110,1044,0
22,23,0,2,67,800,0,1,2,252,68,110,1342,0
23,,,1,,,,1,,778,68,62,335,0
24,21,0,2,62,600,0,0,,578,106,90,1470,0
25,31,0,2,72,300,10,1,,206,68,62,242,0
26,40,1,2,60,600,0,1,7,87,68,216,1486,0
27,24,0,1,73,400,0,1,7,312,68,100,1801,0
28,33,0,2,69,100,410,0,,1794,26,90,83,0
29,,,2,,,,1,,705,68,100,1896,0
30,40,1,2,79,300,0,1,,512,68,62,1491,0
31,68,0,2,45,800,0,1,,439,68,216,300,0
32,20,0,2,3,500,0,1,43,172,29,62,2126,0
33,27,,1,40,500,0,1,,418,73,100,927,0
34,52,0,2,3,100,0,0,,197,29,100,272,0
35,38,1,2,9,400,0,1,,380,23,62,242,1
36,21,,1,39,300,20,0,,471,106,90,2135,0
37,34,,2,41,400,40,1,,364,106,90,1782,0
38,27,0,2,69,300,10,1,,640,68,62,95,0
39,41,0,1,6,400,0,1,7,324,106,90,1610,
40,54,1,2,57,300,0,1,,268,73,216,2005,0
41,26,0,2,79,900,30,1,,639,68,62,2272,0
42,20,0,1,38,300,0,1,7,306,73,62,464,0
43,23,0,2,70,500,0,1,7,323,68,62,2036,0
44,31,,1,71,500,130,0,,358,106,90,1444,0
45,,,2,,,,1,,724,68,216,85,0
46,26,,1,57,600,20,1,7,159,68,216,959,0
