id,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num
1,73,3,48,7,3553,103,1878,535,102,3,59,12,166,7,99,21
2,158,11,65,35,1487,69,648,323,113,7,38,31,88,7,36,21
3,18,3,11,3,5089,260,2944,777,115,6,73,13,72,4,47,14
4,20,0,14,2,1190,39,812,82,54,0,36,3,41,2,27,3
5,41,1,28,9,768,26,421,118,65,2,43,12,83,2,55,12
6,4,0,3,0,1079,16,701,43,75,1,51,0,56,2,39,1
7,111,5,54,13,13316,508,6542,2373,199,10,72,39,64,4,29,15
8,55,0,42,0,520,11,348,28,88,0,64,1,52,0,37,1
9,8,2,7,1,80,6,54,5,8,1,4,1,2,0,2,0
10,16,1,9,2,270,9,166,17,29,1,19,2,15,0,11,1
11,16,0,9,1,838,9,494,52,23,0,10,1,30,0,13,0
12,228,9,129,27,1856,77,899,340,191,11,74,52,174,9,84,28
13,12,0,8,0,794,16,458,63,72,0,35,6,69,0,35,5
14,178,4,114,12,2769,69,1618,357,142,2,88,17,73,2,40,7
15,34,3,20,8,936,35,504,146,78,7,36,19,36,1,20,8
16,368,13,153,97,5015,251,2199,1278,341,12,120,121,149,12,50,64
17,131,5,89,13,1126,35,696,171,135,5,89,20,127,4,95,16
18,106,3,64,11,1595,54,974,199,86,2,57,13,67,1,39,6
19,42,1,17,2,2161,38,1185,188,40,2,21,2,30,1,16,1
20,86,2,49,12,2751,60,1265,473,283,5,138,25,88,1,41,11
21,82,3,48,1,1324,23,772,82,86,3,41,3,103,1,56,4
22,64,2,35,2,1969,62,1086,226,114,0,61,7,99,4,55,7
23,38,0,26,0,4380,53,2765,239,87,0,58,3,115,2,75,2
24,7,0,4,1,1678,60,1151,116,88,1,67,0,54,0,46,1
25,14,0,5,3,3022,38,1659,216,68,0,24,8,46,0,18,6
26,208,16,63,65,6797,498,2579,1769,282,24,80,84,188,16,55,51
27,140,2,87,8,3919,90,2145,520,225,3,142,18,232,4,136,23
28,25,0,13,0,3241,68,2119,196,126,1,64,8,134,1,72,11
29,18,0,9,0,689,11,417,24,41,0,25,0,68,2,44,2
30,379,19,142,103,12804,584,5198,3290,1007,71,273,330,332,22,104,118
31,276,13,109,69,4983,192,1949,1320,215,8,71,60,234,7,78,65
32,30,1,17,1,6122,93,4054,337,157,0,101,13,104,0,69,7
33,30,1,19,1,485,18,266,64,72,1,39,6,70,3,37,11
34,12,0,2,3,811,25,255,172,22,0,5,7,9,0,2,2
35,10,0,6,0,242,8,127,33,26,2,15,2,6,1,4,0
36,21,1,13,5,1249,81,620,244,55,3,27,10,37,2,23,5
37,3,0,0,0,400,3,229,9,22,0,8,2,7,0,2,1
38,41,1,31,1,5014,126,3160,393,182,0,126,8,72,1,44,8
39,11,0,2,5,94,7,19,39,13,0,1,4,6,0,0,1
40,139,4,72,21,4490,115,2129,904,144,8,51,46,67,4,24,24
41,107,2,73,4,2813,53,1731,175,274,2,169,12,460,9,256,34
42,36,3,30,4,973,36,555,135,36,2,23,2,123,8,70,10
43,494,12,335,45,11951,427,6286,1883,852,32,467,138,308,13,168,54
44,102,4,50,18,1164,50,592,216,141,5,68,25,180,6,100,30
45,90,6,58,9,3053,104,1913,345,301,14,206,43,257,11,178,29
46,55,1,22,5,2171,89,1089,403,113,12,55,18,109,5,67,7
47,27,1,9,11,596,33,330,90,27,0,12,5,71,2,42,12
48,18,0,15,2,1275,37,733,143,56,3,32,13,64,0,35,10
49,197,5,129,11,3365,48,2037,240,277,5,162,24,169,6,104,16
50,145,5,91,9,3284,69,1866,405,151,5,82,19,140,4,65,33
51,416,46,122,146,3654,416,1383,1086,683,95,197,261,59,17,26,24
52,3,0,2,0,260,18,132,60,12,1,7,1,25,0,17,0
53,63,3,39,5,4659,92,2756,457,127,1,70,8,74,1,58,3
54,,,,,282,8,184,18,3,0,1,0,105,0,81,4
55,297,12,89,117,4579,214,1464,1419,275,13,65,109,121,5,30,51
56,21,0,10,0,705,16,382,45,54,0,22,1,57,0,26,4
57,37,0,24,2,3597,59,2252,218,76,0,44,2,58,0,30,1
58,151,8,110,15,4904,172,3096,425,145,7,98,17,122,6,85,14
59,86,1,44,3,2064,72,1081,317,135,5,61,28,59,3,33,7
60,190,3,86,35,1184,60,546,268,239,13,114,57,95,4,43,26
61,84,3,55,10,3596,129,1937,635,179,6,111,27,207,3,114,38
62,326,12,201,32,5789,285,2921,957,401,14,201,59,329,13,174,47
63,24,1,9,5,666,44,327,129,40,4,15,14,167,10,82,34
64,65,1,35,12,3092,118,1436,605,320,9,166,47,220,1,109,35
65,150,5,79,14,3003,85,1572,412,212,8,112,25,273,9,152,33
66,114,0,60,13,4542,116,2850,337,188,3,104,15,106,3,66,7
67,55,2,32,1,3768,108,2202,413,162,5,94,11,115,1,71,7
68,28,0,14,4,4290,119,2771,336,55,2,34,6,31,1,17,0
69,125,6,62,14,2882,102,1468,437,136,8,64,36,96,2,55,13
70,67,0,38,6,3117,68,1909,318,144,2,83,21,61,0,36,4
71,31,0,9,9,267,12,92,78,58,5,16,25,19,2,4,8
72,72,2,46,4,3632,72,2126,302,136,2,90,3,95,1,54,5
73,120,0,73,0,1605,17,943,50,82,0,48,0,216,1,136,4
74,44,0,27,0,1019,18,570,61,35,0,18,0,214,3,114,2
75,151,7,89,9,5814,164,3082,748,214,6,105,20,278,6,159,17
76,20,0,9,3,235,4,123,20,18,0,9,2,16,0,8,2
77,33,0,18,3,444,6,234,45,59,1,32,8,46,1,33,3
78,17,0,6,1,2053,107,1197,290,129,5,74,19,146,7,86,13
79,140,4,81,19,6202,83,3977,349,226,10,140,38,146,7,77,34
80,19,2,14,2,1267,47,728,162,77,5,48,7,58,1,43,0
81,105,4,65,8,1310,18,775,71,35,0,24,2,45,1,28,3
82,106,8,33,28,6048,389,2577,1552,169,11,42,55,170,13,75,39
83,,,,,817,10,484,23,37,0,19,1,12,0,6,0
84,150,6,91,12,1195,31,606,174,174,4,84,33,63,0,32,12
85,14,0,8,0,944,18,560,104,83,4,49,12,190,5,93,45
86,22,0,8,8,49,1,11,23,8,1,3,6,6,0,1,5
87,74,1,43,2,2297,33,1429,110,171,3,112,6,267,2,176,12
88,31,0,17,2,1884,27,1127,142,87,0,54,4,46,0,28,3
89,262,9,157,27,5707,127,3352,498,206,4,126,18,71,2,44,3
90,5,0,4,0,1212,9,783,29,19,0,13,1,14,0,8,1
91,70,0,46,6,1098,42,668,125,81,3,49,8,93,5,58,5
92,48,2,18,5,1328,43,644,169,125,4,39,13,113,1,39,18
93,24,2,6,8,730,37,141,272,102,8,22,34,25,0,4,9
94,185,3,98,14,3532,106,1932,455,139,4,73,18,142,2,83,11
95,191,7,52,53,857,56,285,246,235,16,61,70,76,6,22,27
96,101,5,38,25,1333,41,359,497,123,4,23,30,34,1,5,10
97,60,0,34,3,1061,28,630,71,65,0,40,5,33,0,20,2
98,40,3,28,6,2022,94,1226,229,71,3,43,11,36,3,22,4
99,62,1,36,3,2072,80,1224,191,81,4,51,4,77,2,43,3
100,77,2,43,12,869,25,472,127,93,2,50,18,87,6,38,17
101,41,3,20,9,3575,173,1696,689,119,6,56,26,47,2,19,13
102,35,1,23,0,1539,15,786,64,43,1,24,6,30,0,16,3
103,120,10,36,36,2425,146,874,697,194,14,50,70,74,3,13,30
104,82,3,54,3,830,20,491,54,103,2,59,5,55,0,29,9
105,10,0,7,2,730,10,403,51,86,0,44,6,126,2,64,13
106,7,0,4,0,449,8,288,21,35,0,24,2,26,0,16,2
107,56,1,31,7,2164,29,1319,138,161,2,98,12,128,1,80,7
108,8,0,5,0,708,42,451,86,10,2,9,0,14,3,10,2
109,5,0,2,0,215,7,103,30,22,2,11,3,19,2,9,2
110,10,0,6,2,388,18,207,53,29,0,14,5,67,3,35,9
111,32,0,19,4,462,11,293,37,57,0,32,4,36,0,20,3
112,18,1,9,1,984,15,592,51,40,1,20,1,63,0,37,1
113,21,1,14,5,1216,56,647,191,114,7,70,23,105,2,63,18
114,94,3,49,14,5500,122,3125,667,70,2,32,11,65,1,30,7
115,22,0,14,0,3352,80,2222,222,84,3,62,2,30,1,18,0
116,55,1,27,18,11032,441,6114,1598,228,12,108,52,143,5,62,34
117,14,1,7,3,1002,36,544,142,30,2,17,3,22,2,11,4
118,54,1,28,3,3565,85,2048,310,108,1,50,9,92,2,48,1
119,34,2,16,8,905,26,505,118,50,4,25,12,34,3,21,8
120,36,0,21,3,2244,39,1240,204,38,0,18,4,121,10,85,11
121,303,3,198,23,2852,110,1562,513,295,6,163,44,375,12,202,87
122,158,5,109,16,10142,270,6143,1094,314,13,191,34,264,7,150,49
123,449,11,282,43,9236,367,4452,1805,244,11,132,38,162,4,98,20
124,189,10,114,22,3182,149,1592,652,330,16,137,76,263,13,138,50
125,76,0,42,8,1654,51,932,235,172,5,79,24,196,6,96,39
126,241,12,64,93,2645,119,780,896,241,17,51,108,131,7,31,59
127,156,3,104,14,5609,151,3417,580,135,3,87,10,83,2,54,4
128,228,6,148,20,6933,195,3846,818,409,16,243,31,319,7,191,16
129,27,1,18,1,1053,22,656,110,37,1,22,3,25,0,14,2
130,43,0,32,2,2349,29,1437,122,61,0,46,3,19,0,12,0
131,50,2,31,4,2744,79,1676,248,75,2,42,6,80,0,46,3
132,53,1,34,7,920,29,433,196,107,3,61,19,119,1,65,11
133,20,0,13,3,7336,145,4014,556,39,2,23,7,94,2,46,12
134,88,8,63,5,1083,63,631,129,99,7,57,9,59,4,39,2
135,36,0,24,0,1112,28,655,93,47,0,28,0,13,0,5,0
136,30,1,9,8,705,33,217,202,52,2,10,18,37,1,7,16
137,107,3,67,13,1422,33,854,147,35,1,19,3,73,2,46,6
138,180,4,117,11,3115,56,1718,380,252,5,157,23,472,13,220,107
139,36,1,15,4,773,15,442,52,99,0,48,6,277,2,146,25
140,23,1,13,1,326,4,200,23,48,2,28,5,53,1,27,3
141,167,6,97,25,10712,403,5586,1648,363,19,158,92,201,6,94,44
142,2,0,0,0,47,1,18,5,5,0,2,1,2,0,1,0
143,22,0,11,0,1399,21,768,106,95,0,55,2,115,0,65,1
144,182,4,89,30,9334,357,3906,2464,202,8,61,63,109,6,52,27
145,43,2,26,8,1278,39,773,116,119,5,59,23,141,5,69,24
146,134,4,71,19,4003,147,1620,922,56,2,18,13,144,2,49,48
147,3,0,3,0,888,18,503,83,21,0,8,0,16,0,9,1
148,45,3,23,7,500,27,214,133,42,3,20,5,24,3,8,6
149,51,3,31,3,1597,43,944,131,73,6,40,12,79,2,51,7
150,8,0,6,0,1083,22,667,111,13,0,10,2,27,0,13,4
151,313,20,204,32,3235,184,1734,523,351,27,208,45,90,5,54,11
152,41,0,24,1,2330,50,1376,167,184,5,110,8,108,2,55,8
153,8,0,4,1,472,7,268,27,30,1,12,3,20,0,13,2
154,189,4,125,6,7854,182,4811,732,403,15,233,57,284,6,173,35
155,189,1,126,14,7289,165,4350,785,314,4,194,25,339,8,178,62
156,25,2,15,2,2091,45,1161,193,56,3,29,3,106,0,60,2
157,64,2,25,17,308,7,123,70,58,3,22,16,10,1,4,4
158,34,0,18,4,793,27,455,94,153,8,84,24,118,3,66,6
159,20,1,14,1,2172,55,1276,183,84,3,57,5,107,3,64,11
